time,race1,race2,supplyUsed1,supplyUsed2,supplyMade1,supplyMade2,totalIncome1,totalIncome2,mineralsIncome1,mineralsIncome2,vespeneIncome1,vespeneIncome2,totalResources1,totalResources2,minerals1,minerals2,vespene1,vespene2,activeWorkers1,activeWorkers2,army1,army2,technology1,technology2,lostResources1,lostResources2,winner
7,2,0,13.0,13.0,15.0,15.0,335,293,335,293,0,0,40,35,40,35,0,0,12,12,0,0,0,0,0,0,0
14,2,0,14.0,14.0,15.0,15.0,671,615,671,615,0,0,70,60,70,60,0,0,13,13,0,0,0,0,0,0,0
21,2,0,14.0,14.0,15.0,15.0,727,699,727,699,0,0,5,45,5,45,0,0,13,13,0,0,0,0,0,0,0
29,2,0,15.0,15.0,15.0,15.0,727,671,727,671,0,0,45,75,45,75,0,0,14,14,0,0,0,0,0,0,0
36,2,0,16.0,15.0,23.0,15.0,839,783,839,783,0,0,150,130,150,130,0,0,15,14,0,0,0,0,0,0,0
43,2,0,16.0,16.0,23.0,23.0,867,727,867,727,0,0,50,60,50,60,0,0,15,15,0,0,0,0,0,0,0
50,2,0,17.0,16.0,23.0,23.0,839,783,839,783,0,0,15,30,15,30,0,0,16,15,0,0,0,0,0,0,0
57,2,0,18.0,17.0,23.0,23.0,895,699,895,699,0,0,30,120,30,120,0,0,17,16,0,0,0,0,0,0,0
64,2,0,19.0,18.0,23.0,23.0,895,839,895,839,0,0,135,170,135,170,0,0,18,17,0,0,0,0,0,0,0
71,2,0,19.0,18.0,23.0,23.0,973,855,951,811,22,44,249,268,245,260,4,8,18,17,0,0,0,0,0,0,0
79,2,0,20.0,19.0,23.0,23.0,939,939,895,783,44,156,363,333,355,305,8,28,19,18,0,0,0,0,0,0,0
86,2,0,20.0,19.0,23.0,23.0,967,911,923,755,44,156,86,443,70,395,16,48,19,18,0,0,150,0,0,0,0
93,2,0,20.0,20.0,23.0,23.0,1012,883,923,727,89,156,53,293,25,275,28,18,20,19,0,0,150,150,0,0,0
100,2,0,21.0,20.0,23.0,23.0,1001,911,867,755,134,156,119,403,75,365,44,38,20,19,0,0,150,150,0,0,0
107,2,0,22.0,20.0,23.0,23.0,995,934,839,755,156,179,124,108,60,50,64,58,21,19,0,0,150,150,0,0,0
114,2,0,22.0,20.0,23.0,23.0,1079,967,923,811,156,156,104,224,20,150,84,74,21,19,0,0,150,150,0,0,0
121,2,0,23.0,22.0,23.0,23.0,1079,967,923,811,156,156,229,89,125,45,104,44,22,19,0,100,150,150,0,0,0
129,2,0,25.0,22.0,31.0,23.0,1102,1107,923,951,179,156,193,134,90,70,103,64,22,19,0,100,300,150,0,0,0
136,2,0,26.0,23.0,31.0,23.0,1107,1219,839,1063,268,156,219,249,80,165,139,84,23,20,0,100,300,150,0,0,0
143,2,0,26.0,22.0,31.0,23.0,1174,1247,839,1091,335,156,60,339,35,235,25,104,23,19,0,100,300,150,0,50,0
150,2,0,29.0,23.0,31.0,31.0,1152,1270,839,1091,313,179,61,554,25,430,36,124,24,20,125,100,300,150,0,50,0
157,2,0,31.0,23.0,46.0,31.0,1180,1298,867,1119,313,179,61,204,35,110,26,94,25,21,125,200,300,150,0,50,0
164,2,0,32.0,24.0,46.0,31.0,1264,1303,951,1147,313,156,111,305,45,195,66,110,26,21,125,200,300,150,0,50,0
171,2,0,35.0,25.0,46.0,31.0,1404,1415,1091,1259,313,156,106,260,25,130,81,130,27,22,250,200,300,150,0,50,0
179,2,0,36.0,25.0,46.0,46.0,1594,1387,1259,1231,335,156,196,215,75,65,121,150,28,22,250,200,300,150,0,50,0
186,2,0,41.0,26.0,46.0,46.0,1622,1247,1287,1091,335,156,82,225,75,55,7,170,30,23,250,200,600,150,0,50,0
193,2,0,42.0,28.0,46.0,46.0,1706,1331,1371,1175,335,156,82,300,35,110,47,190,31,23,250,200,600,250,0,50,0
200,2,0,43.0,29.0,46.0,46.0,1656,1298,1343,1119,313,179,188,255,105,45,83,210,32,24,250,200,600,250,0,50,0
207,2,0,46.0,30.0,46.0,46.0,1712,1354,1399,1175,313,179,223,375,125,145,98,230,34,25,375,200,600,250,0,50,0
